question_id,hab_bncc,alt_incorreta,alt_incorreta_id,classificacao_erro
8936,EF05MA01,A,34364,Erro_estatistico
8936,EF05MA01,C,34366,Erro_estatistico
8936,EF05MA01,D,34367,E4 Erro na leitura e escrita de números naturais até a ordem das centenas de milhar
8938,EF05MA01,A,34372,80 + 10
8938,EF05MA01,B,34373,800 + 100
8938,EF05MA01,D,34375,800.000 + 1.000
8939,EF05MA01,A,34376,"E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar. O aluno pode ter lido e escrito o número de forma errada, interpretando ""seiscentos e quarenta e oito mil e duzentos"" como ""648""."
8939,EF05MA01,B,34377,"E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar. O aluno pode ter lido e escrito o número de forma errada, interpretando ""seiscentos e quarenta e oito mil e duzentos"" como ""648 000 200""."
8939,EF05MA01,D,34379,"erro_estatistico. A alternativa apresenta o número na forma decimal, o que não é um erro sistemático listado na tabela para a habilidade EF05MA01."
8942,EF05MA01,A,34388,erro_estatistico
8942,EF05MA01,B,34389,erro_estatistico
8942,EF05MA01,C,34390,erro_estatistico
8943,EF05MA01,A,34392,E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar
8943,EF05MA01,B,34393,E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar
8943,EF05MA01,C,34394,E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar
8944,EF05MA01,A,34396,100
8944,EF05MA01,B,34397,341.000
8944,EF05MA01,C,34398,10.000
8947,EF05MA01,A,34408,"E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar. O aluno pode ter interpretado erroneamente as unidades de milhar como unidades simples, resultando em um número muito menor do que o correto."
8947,EF05MA01,B,34409,"E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar. O aluno pode ter interpretado erroneamente as unidades de milhar como dezenas de milhar, resultando em um número menor do que o correto."
8947,EF05MA01,C,34410,"E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar. O aluno pode ter interpretado erroneamente as unidades de milhar como milhares, resultando em um número muito menor do que o correto."
8949,EF05MA01,A,34416,4.207
8949,EF05MA01,B,34417,450.000.207
8949,EF05MA01,C,34418,45.000.207
8977,EF05MA01,A,34528,60.000 - Classificação: E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar.
8977,EF05MA01,C,34530,600 - Classificação: E4 - Erro na leitura e escrita de números naturais até a ordem das centenas de milhar.
