
id_da_questao,id_da_alternativa,codigo_erro,nome_erro
26310,94569,0409_Erro_3,Complemento / restante do todo
26310,94570,0409_Erro_3,Complemento / restante do todo
26310,94571,0409_Erro_3,Complemento / restante do todo
26311,94572,0409_Erro_1,Representação de parte do todo em quantidade
26311,94574,0409_Erro_1,Representação de parte do todo em quantidade
26311,164877,0409_Erro_1,Representação de parte do todo em quantidade
26314,94581,0409_Erro_1,Representação de parte do todo em quantidade
26314,94582,0409_Erro_1,Representação de parte do todo em quantidade
26314,94584,0409_Erro_1,Representação de parte do todo em quantidade
26316,94588,0409_Erro_2,Transformar quantidade (parte/total) em fração
26316,94589,0409_Erro_2,Transformar quantidade (parte/total) em fração
26316,211232,0409_Erro_2,Transformar quantidade (parte/total) em fração
26317,94590,0409_Erro_1,Representação de parte do todo em quantidade
26317,94591,0409_Erro_1,Representação de parte do todo em quantidade
26317,94592,0409_Erro_1,Representação de parte do todo em quantidade
26320,94598,0409_Erro_1,Representação de parte do todo em quantidade
26320,94599,0409_Erro_1,Representação de parte do todo em quantidade
26320,94601,0409_Erro_1,Representação de parte do todo em quantidade
26604,95456,0409_Erro_1,Representação de parte do todo em quantidade
26604,95457,0409_Erro_1,Representação de parte do todo em quantidade
26604,95459,0409_Erro_1,Representação de parte do todo em quantidade
26609,95477,0409_Erro_4x,Comparação de frações unitárias (maior menor igual)
26609,95478,0409_Erro_4x,Comparação de frações unitárias (maior menor igual)
26609,193897,0409_Erro_4x,Comparação de frações unitárias (maior menor igual)
33616,120705,0409_Erro_1,Representação de parte do todo em quantidade
33616,120706,0409_Erro_1,Representação de parte do todo em quantidade
33616,120707,0409_Erro_1,Representação de parte do todo em quantidade
33618,120711,0409_Erro_1,Representação de parte do todo em quantidade
33618,120713,0409_Erro_1,Representação de parte do todo em quantidade
33618,120714,0409_Erro_1,Representação de parte do todo em quantidade
33619,120716,0409_Erro_1,Representação de parte do todo em quantidade
33619,120717,0409_Erro_1,Representação de parte do todo em quantidade
33619,120718,0409_Erro_1,Representação de parte do todo em quantidade
45451,154942,0409_Erro_1,Representação de parte do todo em quantidade
45451,154944,0409_Erro_1,Representação de parte do todo em quantidade
45451,154945,0409_Erro_1,Representação de parte do todo em quantidade
53066,185600,0409_Erro_1,Representação de parte do todo em quantidade
53066,185601,0409_Erro_1,Representação de parte do todo em quantidade
53066,185602,0409_Erro_1,Representação de parte do todo em quantidade
53141,185899,0409_Erro_1,Representação de parte do todo em quantidade
53141,185900,0409_Erro_1,Representação de parte do todo em quantidade
53141,185902,0409_Erro_1,Representação de parte do todo em quantidade
53150,185935,0409_Erro_3,Complemento / restante do todo
53150,185936,0409_Erro_3,Complemento / restante do todo
53150,185938,0409_Erro_3,Complemento / restante do todo
53154,185952,0409_Erro_3,Complemento / restante do todo
53154,185953,0409_Erro_3,Complemento / restante do todo
53154,185954,0409_Erro_3,Complemento / restante do todo
53157,185963,0409_Erro_1,Representação de parte do todo em quantidade
53157,185964,0409_Erro_1,Representação de parte do todo em quantidade
53157,185966,0409_Erro_1,Representação de parte do todo em quantidade
53158,185967,0409_Erro_1,Representação de parte do todo em quantidade
53158,185968,0409_Erro_1,Representação de parte do todo em quantidade
53158,185970,0409_Erro_1,Representação de parte do todo em quantidade
53159,185971,0409_Erro_1,Representação de parte do todo em quantidade
53159,185972,0409_Erro_1,Representação de parte do todo em quantidade
53159,185973,0409_Erro_1,Representação de parte do todo em quantidade
26327,94618,0409_Erro_3,Complemento / restante do todo
26327,94620,0409_Erro_3,Complemento / restante do todo
26327,94621,0409_Erro_3,Complemento / restante do todo
26329,94625,0409_Erro_2,Transformar quantidade (parte/total) em fração
26329,94627,0409_Erro_2,Transformar quantidade (parte/total) em fração
26329,193508,0409_Erro_2,Transformar quantidade (parte/total) em fração
26331,94633,0409_Erro_3,Complemento / restante do todo
26331,94634,0409_Erro_3,Complemento / restante do todo
26331,94635,0409_Erro_3,Complemento / restante do todo
26332,94636,0409_Erro_1,Representação de parte do todo em quantidade
26332,94637,0409_Erro_1,Representação de parte do todo em quantidade
26332,94639,0409_Erro_1,Representação de parte do todo em quantidade
26333,94640,0409_Erro_3,Complemento / restante do todo
