Id_da_questao;id_da_alternativa;codigo_erro;nome_erro
36129;129930;0506_Erro_1;Escolha_fração_percentual_inadequada
36129;129932;0506_Erro_2;Erro_cálculo_parte_simples
36129;129933;0506_Erro_2;Erro_cálculo_parte_simples
51172;177894;0506_Erro_3;Confundiu_parte_complemento
51172;177896;0506_Erro_2;Erro_cálculo_parte_simples
51172;177897;0506_Erro_2;Erro_cálculo_parte_simples
51173;177898;0506_Erro_2;Erro_cálculo_parte_simples
51173;177900;0506_Erro_3;Confundiu_parte_complemento
51173;177901;0506_Erro_3;Confundiu_parte_complemento
51174;177902;0506_Erro_2;Erro_cálculo_parte_simples
51174;177903;0506_Erro_2;Erro_cálculo_parte_simples
51174;177905;0506_Erro_2;Erro_cálculo_parte_simples
51175;177906;0506_Erro_2;Erro_cálculo_parte_simples
51175;177907;0506_Erro_2;Erro_cálculo_parte_simples
51175;177909;0506_Erro_2;Erro_cálculo_parte_simples
51176;177910;0506_Erro_3;Confundiu_parte_complemento
51176;177911;0506_Erro_3;Confundiu_parte_complemento
51176;177913;0506_Erro_2;Erro_cálculo_parte_simples
51177;177914;0506_Erro_3;Confundiu_parte_complemento
51177;177915;0506_Erro_2;Erro_cálculo_parte_simples
51177;177916;0506_Erro_2;Erro_cálculo_parte_simples
51180;177926;0506_Erro_2;Erro_cálculo_parte_simples
51180;177927;0506_Erro_3;Confundiu_parte_complemento
51180;177929;0506_Erro_2;Erro_cálculo_parte_simples
51181;177930;0506_Erro_3;Confundiu_parte_complemento
51181;177931;0506_Erro_2;Erro_cálculo_parte_simples
51181;177932;0506_Erro_2;Erro_cálculo_parte_simples
51185;177946;0506_Erro_2;Erro_cálculo_parte_simples
51185;177947;0506_Erro_3;Confundiu_parte_complemento
51185;177949;0506_Erro_2;Erro_cálculo_parte_simples
61743;219929;0506_Erro_1;Escolha_fração_percentual_inadequada
61743;219930;0506_Erro_1;Escolha_fração_percentual_inadequada
61743;219931;0506_Erro_1;Escolha_fração_percentual_inadequada
