Id_da_questao,id_da_alternativa,codigo_erro,nome_erro
36212,130262,0511_Erro_1,Resultado subestimado
36212,130264,0511_Erro_2,Resultado superestimado
36212,130265,0511_Erro_2,Resultado superestimado
36213,130266,0511_Erro_1,Resultado subestimado
36213,130268,0511_Erro_2,Resultado superestimado
36213,130269,0511_Erro_2,Resultado superestimado
36220,130294,0511_Erro_1,Resultado subestimado
36220,130295,0511_Erro_1,Resultado subestimado
36220,130297,0511_Erro_2,Resultado superestimado
36221,130298,0511_Erro_1,Resultado subestimado
36221,130300,0511_Erro_2,Resultado superestimado
36221,130301,0511_Erro_2,Resultado superestimado
36231,130338,0511_Erro_1,Resultado subestimado
36231,130340,0511_Erro_2,Resultado superestimado
36231,130341,0511_Erro_2,Resultado superestimado
36244,130390,0511_Erro_1,Resultado subestimado
36244,130392,0511_Erro_2,Resultado superestimado
36244,130393,0511_Erro_2,Resultado superestimado
36245,130394,0511_Erro_1,Resultado subestimado
36245,130395,0511_Erro_1,Resultado subestimado
36245,130397,0511_Erro_2,Resultado superestimado
36260,130455,0511_Erro_2,Resultado superestimado
36260,130456,0511_Erro_2,Resultado superestimado
36260,130457,0511_Erro_2,Resultado superestimado
36262,130462,0511_Erro_1,Resultado subestimado
36262,130464,0511_Erro_2,Resultado superestimado
36262,130465,0511_Erro_2,Resultado superestimado
36265,130474,0511_Erro_1,Resultado subestimado
36265,130476,0511_Erro_2,Resultado superestimado
36265,130477,0511_Erro_2,Resultado superestimado
36266,130478,0511_Erro_1,Resultado subestimado
36266,130479,0511_Erro_1,Resultado subestimado
36266,130480,0511_Erro_1,Resultado subestimado
36273,130506,0511_Erro_1,Resultado subestimado
36273,130507,0511_Erro_1,Resultado subestimado
36273,130509,0511_Erro_2,Resultado superestimado
36274,130510,0511_Erro_1,Resultado subestimado
36274,130512,0511_Erro_1,Resultado subestimado
36274,130513,0511_Erro_2,Resultado superestimado
36275,130514,0511_Erro_1,Resultado subestimado
36275,130516,0511_Erro_2,Resultado superestimado
36275,130517,0511_Erro_2,Resultado superestimado
36276,130518,0511_Erro_1,Resultado subestimado
36276,130519,0511_Erro_1,Resultado subestimado
36276,130520,0511_Erro_1,Resultado subestimado
36278,130526,0511_Erro_1,Resultado subestimado
36278,130527,0511_Erro_1,Resultado subestimado
36278,130529,0511_Erro_1,Resultado subestimado
36280,130534,0511_Erro_1,Resultado subestimado
36280,130535,0511_Erro_1,Resultado subestimado
36280,130536,0511_Erro_1,Resultado subestimado
36281,130538,0511_Erro_1,Resultado subestimado
36281,130539,0511_Erro_1,Resultado subestimado
